index,m,n,rain_z,rain_aep,mean_rain_mm,tp,storm_method,tp_frequency,il_p,il_scaling,initial_loss,cl_p,cl_scaling,continuing_loss,preburst_p,preburst_proportion,preburst_mm,residual_depth,embedded_bursts,lake_z,ADV,inflow
39,3,9,0.9660985989536691,5.988,425.3,9,ARR areal,intermediate,0.2099,2.55,76.5,0.1932,0.632,1.26,0.3161,0.0295,12.5,0.0,No embedded bursts,-1.8264,80208.0,523.5
40,4,0,0.9905567913322428,6.213,431.1,4,ARR areal,intermediate,0.8788,0.51,15.3,0.8269,1.392,2.78,0.5495,0.1015,43.8,28.5,No embedded bursts,-0.6651,115047.0,581.2
41,4,1,1.0150149837108169,6.45,436.9,8,ARR areal,intermediate,0.9097,0.415,12.4,0.0566,0.468,0.94,0.6451,0.1433,62.6,50.2,No embedded bursts,-0.20363,128891.0,512.4
42,4,2,1.0394731760893907,6.698,442.8,1,ARR areal,intermediate,0.8547,0.583,17.5,0.1996,0.64,1.28,0.2879,0.0987,43.7,26.2,No embedded bursts,-0.786,111420.0,475.8
43,4,3,1.0639313684679645,6.96,448.8,0,ARR areal,intermediate,0.7494,0.904,27.1,0.7628,1.315,2.63,0.1494,0.0305,13.7,0.0,No embedded bursts,-0.09952,132014.0,565.7
44,4,4,1.0883895608465386,7.235,454.9,7,ARR areal,intermediate,0.4621,1.781,53.4,0.575,1.09,2.18,0.5047,0.0459,20.9,0.0,No embedded bursts,-2.70349,53895.0,566.6
45,4,5,1.1128477532251124,7.525,461.1,8,ARR areal,intermediate,0.3793,2.033,61.0,0.9021,1.483,2.97,0.2097,0.0839,38.7,0.0,No embedded bursts,0.09157,137747.0,485.9
46,4,6,1.1373059456036865,7.831,467.3,9,ARR areal,intermediate,0.0547,3.023,90.7,0.0134,0.416,0.83,0.8781,0.0786,36.7,0.0,No embedded bursts,0.04556,136367.0,609.7
47,4,7,1.16176413798226,8.152,473.6,3,ARR areal,intermediate,0.3166,2.224,66.7,0.8103,1.372,2.74,0.1194,0.0711,33.7,0.0,No embedded bursts,-0.56336,118099.0,646.4
48,4,8,1.1862223303608341,8.491,480.0,6,ARR areal,intermediate,0.4147,1.925,57.8,0.0493,0.459,0.92,0.8604,0.0997,47.9,0.0,No embedded bursts,-0.23122,128063.0,703.4
49,4,9,1.210680522739408,8.849,486.5,0,ARR areal,intermediate,0.1558,2.715,81.4,0.3525,0.823,1.65,0.1805,0.0555,27.0,0.0,No embedded bursts,-1.03228,104032.0,668.7
50,5,0,1.235138715117982,9.226,493.1,3,ARR areal,intermediate,0.3605,2.09,62.7,0.3934,0.872,1.74,0.2599,0.0471,23.2,0.0,No embedded bursts,-0.66046,115186.0,555.5
51,5,1,1.2595969074965558,9.624,499.8,7,ARR areal,intermediate,0.0474,3.045,91.4,0.0389,0.447,0.89,0.2648,0.0731,36.5,0.0,No embedded bursts,0.67853,155356.0,456.4
52,5,2,1.28405509987513,10.044,506.6,0,ARR areal,intermediate,0.1579,2.708,81.2,0.5199,1.024,2.05,0.6838,0.1099,55.7,0.0,No embedded bursts,-0.30476,125857.0,597.0
53,5,3,1.3085132922537035,10.488,513.4,2,ARR areal,intermediate,0.1003,2.884,86.5,0.3421,0.811,1.62,0.3233,0.0783,40.2,0.0,No embedded bursts,0.08024,137407.0,645.4
54,5,4,1.3329714846322775,10.956,520.4,4,ARR areal,intermediate,0.0868,2.925,87.8,0.1656,0.599,1.2,0.2272,0.1109,57.7,0.0,No embedded bursts,1.10077,168023.0,539.8
55,5,5,1.3574296770108514,11.452,527.4,0,ARR areal,intermediate,0.437,1.857,55.7,0.275,0.73,1.46,0.309,0.1455,76.7,21.0,No embedded bursts,0.41041,147312.0,666.9
56,5,6,1.3818878693894254,11.976,534.6,5,ARR areal,intermediate,0.4825,1.718,51.5,0.2285,0.674,1.35,0.1915,0.1289,68.9,17.4,No embedded bursts,-0.02252,134324.0,705.0
57,5,7,1.406346061767999,12.53,541.8,5,ARR areal,intermediate,0.1355,2.777,83.3,0.9957,1.595,3.19,0.8005,0.1214,65.8,0.0,No embedded bursts,-0.33887,124834.0,505.5
58,5,8,1.430804254146573,13.116,549.2,9,ARR areal,intermediate,0.1226,2.816,84.5,0.136,0.563,1.13,0.4199,0.0563,30.9,0.0,No embedded bursts,-0.18081,129576.0,898.4
59,5,9,1.455262446525147,13.737,556.6,6,ARR areal,intermediate,0.0687,2.98,89.4,0.8792,1.455,2.91,0.3959,0.1064,59.2,0.0,No embedded bursts,0.2557,142671.0,973.7
60,6,0,1.479720638903721,14.394,564.1,6,ARR areal,intermediate,0.5653,1.466,44.0,0.2584,0.71,1.42,0.3109,0.0508,28.7,0.0,No embedded bursts,-0.44637,121609.0,558.1
61,6,1,1.5041788312822948,15.09,571.8,2,ARR areal,intermediate,0.6103,1.329,39.9,0.0804,0.496,0.99,0.3643,0.0819,46.8,6.9,No embedded bursts,-0.35563,124331.0,761.1
62,6,2,1.5286370236608686,15.828,579.5,9,ARR areal,intermediate,0.0048,3.175,95.2,0.5892,1.107,2.21,0.2281,0.1461,84.7,0.0,No embedded bursts,-1.21118,98665.0,859.1
63,6,3,1.5530952160394427,16.611,587.4,5,ARR areal,intermediate,0.6649,1.162,34.9,0.46,0.952,1.9,0.7443,0.1056,62.0,27.1,No embedded bursts,-0.28025,126592.0,754.7
64,6,4,1.5775534084180165,17.442,595.3,5,ARR areal,intermediate,0.0028,3.181,95.4,0.1223,0.547,1.09,0.8415,0.035,20.8,0.0,No embedded bursts,-0.66734,114980.0,900.4
65,6,5,1.6020116007965906,18.323,603.4,9,ARR areal,intermediate,0.2807,2.334,70.0,0.6765,1.212,2.42,0.3855,0.0319,19.2,0.0,No embedded bursts,0.5483,151449.0,1034.1
66,6,6,1.6264697931751644,19.259,611.6,6,ARR areal,intermediate,0.2228,2.51,75.3,0.5132,1.016,2.03,0.686,0.0668,40.9,0.0,No embedded bursts,-0.12097,131371.0,1151.2
67,6,7,1.6509279855537384,20.252,619.8,6,ARR areal,intermediate,0.2036,2.569,77.1,0.26,0.712,1.42,0.747,0.0865,53.6,0.0,No embedded bursts,-0.64264,115721.0,946.2
68,6,8,1.675386177932312,21.309,628.2,4,ARR areal,intermediate,0.2396,2.459,73.8,0.376,0.851,1.7,0.4836,0.0095,6.0,0.0,No embedded bursts,-1.00973,104708.0,911.6
69,6,9,1.699844370310886,22.432,636.7,2,ARR areal,intermediate,0.3709,2.059,61.8,0.0438,0.453,0.91,0.101,0.0691,44.0,0.0,No embedded bursts,1.84582,190000.0,923.8
70,7,0,1.72430256268946,23.626,645.4,0,ARR areal,intermediate,0.6211,1.296,38.9,0.3653,0.838,1.68,0.7994,0.0064,4.1,0.0,No embedded bursts,-1.00002,104999.0,716.2
71,7,1,1.748760755068034,24.897,654.1,8,ARR areal,intermediate,0.6546,1.193,35.8,0.665,1.198,2.4,0.6458,0.079,51.7,15.9,No embedded bursts,1.23068,171920.0,838.1
72,7,2,1.7732189474466076,26.249,663.0,5,ARR areal,intermediate,0.2453,2.442,73.3,0.2236,0.668,1.34,0.676,0.0658,43.6,0.0,No embedded bursts,1.2166,171498.0,1003.5
73,7,3,1.7976771398251816,27.69,671.9,2,ARR areal,intermediate,0.8605,0.565,17.0,0.841,1.409,2.82,0.8283,0.0611,41.1,24.1,No embedded bursts,-0.60579,116826.0,1169.5
74,7,4,1.8221353322037555,29.225,681.0,4,ARR areal,intermediate,0.5047,1.651,49.5,0.7729,1.327,2.65,0.8779,0.0015,1.0,0.0,No embedded bursts,0.30161,144048.0,1256.1
75,7,5,1.8465935245823295,30.861,690.3,9,ARR areal,intermediate,0.0542,3.025,90.8,0.7272,1.273,2.55,0.733,0.051,35.2,0.0,No embedded bursts,1.06415,166924.0,1190.1
76,7,6,1.8710517169609033,32.606,699.6,9,ARR areal,rare,0.2314,2.484,74.5,0.7065,1.248,2.5,0.5971,0.0461,32.3,0.0,No embedded bursts,1.29206,173762.0,1225.6
77,7,7,1.8955099093394774,34.468,709.1,4,ARR areal,rare,0.6091,1.332,40.0,0.0987,0.518,1.04,0.1144,0.0579,41.1,1.1,No embedded bursts,-1.53147,89056.0,1019.3
78,7,8,1.919968101718051,36.455,718.7,6,ARR areal,rare,0.1819,2.635,79.0,0.0087,0.41,0.82,0.6513,0.1014,72.9,0.0,No embedded bursts,0.37839,146352.0,1014.3
79,7,9,1.944426294096625,38.577,728.4,4,ARR areal,rare,0.7502,0.902,27.1,0.238,0.686,1.37,0.4773,0.0801,58.3,31.2,No embedded bursts,0.6151,153453.0,819.6
80,8,0,1.968884486475199,40.844,738.3,5,ARR areal,rare,0.5337,1.562,46.9,0.7713,1.326,2.65,0.4679,0.0508,37.5,0.0,No embedded bursts,-0.20777,128767.0,1053.0
81,8,1,1.993342678853773,43.268,748.3,9,ARR areal,rare,0.7006,1.053,31.6,0.5056,1.007,2.01,0.3194,0.119,89.0,57.4,No embedded bursts,0.05038,136511.0,1127.6
82,8,2,2.0178008712323465,45.859,758.4,9,ARR areal,rare,0.8261,0.67,20.1,0.3116,0.774,1.55,0.6601,0.0843,63.9,43.8,No embedded bursts,1.15025,169508.0,1161.5
83,8,3,2.0422590636109206,48.631,768.7,4,ARR areal,rare,0.5349,1.559,46.8,0.1689,0.603,1.21,0.1147,0.0214,16.5,0.0,No embedded bursts,0.38304,146491.0,991.8
84,8,4,2.0667172559894946,51.599,779.1,4,ARR areal,rare,0.6598,1.178,35.3,0.8699,1.444,2.89,0.1184,0.0952,74.2,38.9,No embedded bursts,1.29691,173907.0,1011.4
85,8,5,2.0911754483680687,54.776,789.7,5,ARR areal,rare,0.4395,1.85,55.5,0.0194,0.423,0.85,0.7279,0.0176,13.9,0.0,No embedded bursts,-2.03714,73886.0,1460.9
86,8,6,2.1156336407466423,58.18,800.4,6,ARR areal,rare,0.1723,2.664,79.9,0.3098,0.772,1.54,0.4663,0.0203,16.2,0.0,No embedded bursts,-1.0518,103446.0,1138.7
87,8,7,2.1400918331252163,61.829,811.2,0,ARR areal,rare,0.6565,1.188,35.6,0.9978,1.597,3.19,0.7559,0.0419,34.0,0.0,No embedded bursts,-0.34029,124791.0,1073.3
88,8,8,2.16455002550379,65.742,822.2,4,ARR areal,rare,0.4892,1.698,50.9,0.9435,1.532,3.06,0.1279,0.0116,9.5,0.0,No embedded bursts,-0.68916,114325.0,1331.0
89,8,9,2.189008217882364,69.939,833.3,9,ARR areal,rare,0.245,2.443,73.3,0.2896,0.748,1.5,0.8107,0.1373,114.4,41.1,No embedded bursts,1.06785,167036.0,1564.8
90,9,0,2.213466410260938,74.445,844.6,7,ARR areal,rare,0.7207,0.992,29.8,0.3893,0.867,1.73,0.7845,0.103,87.0,57.2,No embedded bursts,-1.52029,89391.0,1620.9
91,9,1,2.237924602639512,79.283,856.0,1,ARR areal,rare,0.0491,3.04,91.2,0.5743,1.089,2.18,0.4807,0.0939,80.4,0.0,No embedded bursts,0.07708,137312.0,1282.8
92,9,2,2.2623827950180857,84.482,867.6,6,ARR areal,rare,0.7124,1.017,30.5,0.7411,1.289,2.58,0.331,0.1212,105.2,74.7,No embedded bursts,-0.88712,108386.0,1500.7
93,9,3,2.2868409873966593,90.069,879.4,2,ARR areal,rare,0.9205,0.382,11.5,0.6872,1.225,2.45,0.841,0.054,47.5,36.0,No embedded bursts,-0.51339,119598.0,1250.3
94,9,4,2.3112991797752334,96.078,891.3,4,ARR areal,rare,0.5998,1.361,40.8,0.4186,0.902,1.8,0.5241,0.1402,125.0,84.2,No embedded bursts,-1.57724,87683.0,1465.2
95,9,5,2.3357573721538074,102.544,903.4,8,ARR areal,rare,0.5026,1.657,49.7,0.1751,0.61,1.22,0.526,0.1165,105.2,55.5,No embedded bursts,-2.65472,55358.0,1471.3
96,9,6,2.3602155645323815,109.503,915.6,1,ARR areal,rare,0.4459,1.83,54.9,0.9189,1.503,3.01,0.1795,0.0686,62.8,7.9,No embedded bursts,-0.53459,118962.0,1265.2
97,9,7,2.384673756910955,116.998,928.0,0,ARR areal,rare,0.4321,1.872,56.2,0.585,1.102,2.2,0.8723,0.0248,23.0,0.0,No embedded bursts,-1.31132,95660.0,1519.3
98,9,8,2.409131949289529,125.074,940.6,4,ARR areal,rare,0.7133,1.014,30.4,0.4128,0.895,1.79,0.7136,0.1251,117.7,87.3,No embedded bursts,1.79835,188950.0,1378.7
99,9,9,2.4335901416681027,133.78,953.3,4,ARR areal,rare,0.1439,2.751,82.5,0.8285,1.394,2.79,0.3308,0.1372,130.8,48.3,No embedded bursts,-1.16543,100037.0,1549.8
100,10,0,2.458048334046677,143.17,966.2,4,ARR areal,rare,0.3157,2.227,66.8,0.6916,1.23,2.46,0.612,0.018,17.4,0.0,No embedded bursts,-0.71344,113597.0,1904.7
101,10,1,2.4825065264252513,153.302,979.3,3,ARR areal,rare,0.1564,2.713,81.4,0.3331,0.8,1.6,0.257,0.0693,67.9,0.0,No embedded bursts,-1.69682,84095.0,1829.5
102,10,2,2.5069647188038244,164.24,992.6,1,ARR areal,rare,0.0457,3.051,91.5,0.3688,0.843,1.69,0.8663,0.0966,95.9,4.4,No embedded bursts,0.5874,152622.0,1830.0
103,10,3,2.5314229111823985,176.055,1006.0,2,ARR areal,rare,0.4179,1.915,57.4,0.1713,0.606,1.21,0.4301,0.1331,133.9,76.5,No embedded bursts,0.9971,164913.0,1775.2
104,10,4,2.5558811035609725,188.823,1019.6,5,ARR areal,rare,0.9782,0.206,6.2,0.215,0.658,1.32,0.8302,0.0458,46.7,40.5,No embedded bursts,-0.94169,106749.0,1897.5
105,10,5,2.580339295939547,202.628,1033.4,0,ARR areal,rare,0.8953,0.459,13.8,0.6758,1.211,2.42,0.3181,0.054,55.8,42.0,No embedded bursts,0.60121,153036.0,1793.4
106,10,6,2.60479748831812,217.56,1047.4,0,ARR areal,rare,0.7201,0.994,29.8,0.6205,1.145,2.29,0.72,0.0047,4.9,0.0,No embedded bursts,-0.39512,123146.0,1726.6
107,10,7,2.6292556806966942,233.721,1061.6,7,ARR areal,rare,0.105,2.87,86.1,0.4096,0.892,1.78,0.665,0.1436,152.4,66.3,No embedded bursts,-1.84176,79747.0,1801.3
108,10,8,2.653713873075268,251.221,1076.0,8,ARR areal,rare,0.6182,1.304,39.1,0.7487,1.298,2.6,0.7912,0.0596,64.1,25.0,No embedded bursts,0.87058,161117.0,1915.4
109,10,9,2.678172065453842,270.178,1090.6,5,ARR areal,rare,0.5684,1.456,43.7,0.2278,0.673,1.35,0.4259,0.0047,5.1,0.0,No embedded bursts,0.63919,154176.0,1854.4
110,11,0,2.702630257832416,290.726,1105.3,3,ARR areal,rare,0.8188,0.693,20.8,0.8234,1.388,2.78,0.4818,0.0458,50.6,29.8,No embedded bursts,-0.40695,122792.0,1922.2
111,11,1,2.72708845021099,313.009,1120.3,5,ARR areal,rare,0.447,1.827,54.8,0.2251,0.67,1.34,0.4397,0.0519,58.1,3.3,No embedded bursts,0.86291,160887.0,2288.9
112,11,2,2.7515466425895636,337.185,1135.5,7,ARR areal,rare,0.7763,0.822,24.7,0.8965,1.476,2.95,0.345,0.1265,143.6,118.9,No embedded bursts,-1.62896,86131.0,2128.9
113,11,3,2.7760048349681377,363.429,1150.9,7,ARR areal,rare,0.4615,1.782,53.5,0.9084,1.49,2.98,0.8455,0.0338,38.9,0.0,No embedded bursts,1.38584,176575.0,1794.5
114,11,4,2.8004630273467117,391.931,1166.4,6,ARR areal,rare,0.64,1.238,37.1,0.5575,1.069,2.14,0.8256,0.1318,153.7,116.6,No embedded bursts,0.79828,158948.0,2871.7
115,11,5,2.8249212197252853,422.902,1182.2,4,ARR areal,rare,0.351,2.119,63.6,0.0231,0.428,0.86,0.6725,0.0598,70.7,7.1,No embedded bursts,-0.123,131310.0,2522.7
116,11,6,2.8493794121038594,456.573,1198.3,5,ARR areal,rare,0.3608,2.09,62.7,0.4537,0.944,1.89,0.7087,0.0524,62.8,0.1,No embedded bursts,0.27227,143168.0,1955.8
117,11,7,2.8738376044824334,493.197,1214.5,3,ARR areal,rare,0.9473,0.301,9.0,0.0045,0.405,0.81,0.1091,0.1371,166.5,157.5,No embedded bursts,-0.1613,130161.0,2818.9
118,11,8,2.8982957968610075,533.054,1230.9,2,ARR areal,rare,0.9544,0.279,8.4,0.3657,0.839,1.68,0.1264,0.0022,2.7,0.0,No embedded bursts,-0.97597,105721.0,2301.0
119,11,9,2.9227539892395806,576.451,1247.6,5,ARR areal,rare,0.6532,1.198,35.9,0.7868,1.344,2.69,0.894,0.1227,153.1,117.2,No embedded bursts,1.04865,166460.0,2363.3
120,12,0,2.947212181618155,623.727,1264.5,6,ARR areal,rare,0.2597,2.398,71.9,0.8821,1.459,2.92,0.6368,0.0686,86.7,14.8,No embedded bursts,0.47107,149132.0,2263.5
121,12,1,2.971670373996729,675.255,1281.6,3,ARR areal,rare,0.0163,3.14,94.2,0.5945,1.113,2.23,0.4272,0.0156,20.0,0.0,No embedded bursts,-0.26409,127077.0,2221.6
122,12,2,2.996128566375303,731.446,1299.0,8,ARR areal,rare,0.5908,1.388,41.6,0.3889,0.867,1.73,0.8512,0.0963,125.1,83.5,No embedded bursts,-1.84899,79530.0,2325.3
123,12,3,3.0205867587538764,792.753,1316.6,2,ARR areal,rare,0.1548,2.718,81.5,0.7689,1.323,2.65,0.2942,0.1492,196.4,114.9,No embedded bursts,-2.59817,57055.0,2462.0
124,12,4,3.0450449511324504,859.677,1334.4,2,ARR areal,rare,0.719,0.997,29.9,0.1485,0.578,1.16,0.2557,0.037,49.4,19.5,No embedded bursts,0.08519,137556.0,2168.3
125,12,5,3.0695031435110245,932.77,1352.5,6,ARR areal,rare,0.3734,2.051,61.5,0.1906,0.629,1.26,0.1188,0.0907,122.7,61.2,No embedded bursts,0.18641,140592.0,2530.6
126,12,6,3.0939613358895985,1012.642,1370.8,1,ARR areal,rare,0.4661,1.768,53.0,0.0437,0.452,0.9,0.5293,0.1316,180.4,127.4,No embedded bursts,-0.56268,118120.0,2949.5
127,12,7,3.118419528268172,1099.966,1389.4,0,ARR areal,rare,0.7211,0.991,29.7,0.9672,1.561,3.12,0.2042,0.129,179.2,149.5,No embedded bursts,-2.20293,68912.0,2584.3
128,12,8,3.1428777206467458,1195.488,1408.2,9,ARR areal,rare,0.1034,2.875,86.2,0.621,1.145,2.29,0.5412,0.1253,176.4,90.2,No embedded bursts,2.50305,190000.0,2433.0
129,12,9,3.16733591302532,1300.031,1427.2,9,ARR areal,rare,0.1155,2.838,85.1,0.2921,0.751,1.5,0.5677,0.0226,32.3,0.0,No embedded bursts,0.89259,161778.0,2853.5
130,13,0,3.1917941054038943,1414.506,1446.6,9,ARR areal,rare,0.8363,0.639,19.2,0.1451,0.574,1.15,0.8537,0.0313,45.3,26.1,No embedded bursts,-1.92525,77242.0,2731.1
131,13,1,3.2162522977824675,1539.923,1466.2,8,ARR areal,rare,0.4787,1.73,51.9,0.4363,0.924,1.85,0.6632,0.0459,67.3,15.4,No embedded bursts,0.63004,153901.0,2609.1
132,13,2,3.2407104901610415,1677.399,1486.0,2,ARR areal,rare,0.5966,1.37,41.1,0.7516,1.302,2.6,0.4531,0.0775,115.2,74.1,No embedded bursts,1.05629,166689.0,2989.3
133,13,3,3.2651686825396156,1828.172,1506.1,9,ARR areal,rare,0.3921,1.994,59.8,0.5125,1.015,2.03,0.2815,0.0232,34.9,0.0,No embedded bursts,-1.05851,103245.0,2699.7
134,13,4,3.2896268749181896,1993.614,1526.5,3,ARR areal,rare,0.2244,2.506,75.2,0.9573,1.549,3.1,0.1886,0.1481,226.1,150.9,No embedded bursts,0.10978,138293.0,2710.3
